BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_many_labels_each,_and_no_metadata/no_splitting-12    	    2504	    471831 ns/op	  810566 B/op	     409 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/no_splitting-12                                   	    5372	    215967 ns/op	  226479 B/op	    4013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/no_splitting-12                                   	    5613	    209362 ns/op	  226479 B/op	    4013 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                       	     772	   1468342 ns/op	 1932313 B/op	    5022 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                       	     806	   1447176 ns/op	 1932285 B/op	    5022 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                       	     788	   1497643 ns/op	 1932296 B/op	    5022 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                       	     859	   1551383 ns/op	 1932238 B/op	    5022 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                       	     756	   1586885 ns/op	 1932332 B/op	    5022 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                              	     704	   1591801 ns/op	 1954388 B/op	    5031 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                              	     750	   1602205 ns/op	 1954345 B/op	    5031 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                              	     762	   1647147 ns/op	 1954327 B/op	    5031 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                              	     675	   1744590 ns/op	 1954430 B/op	    5031 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                              	     686	   1660256 ns/op	 1954410 B/op	    5031 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                             	     740	   1623075 ns/op	 1978482 B/op	    5052 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                             	     720	   1616167 ns/op	 1978502 B/op	    5052 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                             	     721	   1771524 ns/op	 1978502 B/op	    5052 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                             	     664	   1710246 ns/op	 1978567 B/op	    5052 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_many_requests-12                             	     717	   1597042 ns/op	 1978504 B/op	    5052 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                   	   16468	     72828 ns/op	   82411 B/op	     259 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                   	   15068	     79428 ns/op	   82412 B/op	     259 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                   	   15122	     73357 ns/op	   82412 B/op	     259 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                   	   16466	     74436 ns/op	   82412 B/op	     259 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/no_splitting-12                   	   15058	     79276 ns/op	   82412 B/op	     259 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12          	   15496	     79616 ns/op	   82815 B/op	     264 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12          	   15321	     84424 ns/op	   82815 B/op	     264 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12          	   14335	     79175 ns/op	   82814 B/op	     264 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12          	   15546	     78299 ns/op	   82815 B/op	     264 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_few_requests-12          	   14137	     84513 ns/op	   82815 B/op	     264 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12         	   14718	     77543 ns/op	   84005 B/op	     288 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12         	   15364	     81449 ns/op	   84005 B/op	     288 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12         	   13896	     85619 ns/op	   84005 B/op	     288 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12         	   15193	     79320 ns/op	   84005 B/op	     288 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_series,_few_labels_each,_and_no_metadata/split_in_many_requests-12         	   15267	     81761 ns/op	   84005 B/op	     288 allocs/op
