goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
                                                              │ BenchmarkMatchesSeries_before.txt │   BenchmarkMatchesSeries_after.txt   │
                                                              │              sec/op               │    sec/op     vs base                │
MatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16                             546.4n ± 5%    564.6n ± 4%        ~ (p=0.063 n=10)
MatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16                          8.000 ± 0%     8.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_100,_Matching:_1-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_100,_Matching:_2-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_100,_Matching:_5-16                         8.000 ± 0%     8.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_1,_Matching:_0-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_1,_Matching:_1-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_10,_Matching:_1-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_10,_Matching:_2-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_10,_Matching:_5-16                         8.000 ± 0%     8.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_25,_Matching:_1-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_25,_Matching:_2-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_25,_Matching:_5-16                         8.000 ± 0%     8.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_100,_Matching:_1-16                        0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_100,_Matching:_2-16                        0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_100,_Matching:_5-16                        8.000 ± 0%     8.000 ± 0%       ~ (p=1.000 n=10) ¹
geomean                                                                                         ²               +0.00%                ²
¹ all samples are equal
² summaries must be >0 to compute geomean

                                                              │ BenchmarkMatchesSeries_before.txt │  BenchmarkMatchesSeries_after.txt   │
                                                              │             allocs/op             │ allocs/op   vs base                 │
MatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_0-16                            0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_1,_Matching:_1-16                            0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_1-16                           0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_2-16                           0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16                           1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16                           0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16                           0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16                           1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_1-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_2-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_10,_Labels:_100,_Matching:_5-16                          1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_0-16                           0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_1,_Matching:_1-16                           0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_1-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_2-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_10,_Matching:_5-16                          1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_1-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16                          1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_100,_Matching:_1-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_100,_Matching:_2-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_100,_Labels:_100,_Matching:_5-16                         1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_1,_Matching:_0-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_1,_Matching:_1-16                          0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_10,_Matching:_1-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_10,_Matching:_2-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_10,_Matching:_5-16                         1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_25,_Matching:_1-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_25,_Matching:_2-16                         0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_25,_Matching:_5-16                         1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_100,_Matching:_1-16                        0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_100,_Matching:_2-16                        0.000 ± 0%     0.000 ± 0%       ~ (p=1.000 n=10) ¹
MatchesSeries/TrackerCount:_1000,_Labels:_100,_Matching:_5-16                        1.000 ± 0%     1.000 ± 0%       ~ (p=1.000 n=10) ¹
geomean                                                                                         ²               +0.00%                ²
¹ all samples are equal
² summaries must be >0 to compute geomean
